Id,Name,TypeDesc,License,LicenseType,Owner,Location,Phone,Status,BeginDate,EndDate,OpenDate,LastInspection,NextInspection,FollowUpDate,ReinspectDate,DateClosed,Complexity,LastInspectionStatus,Address
2877,Trippple B's,Food Service Establishment,75715,SFE,Trippple B's LLC,"(42.425357,-83.2786548)",535-6521,PERMANENTLY CLOSED,9/1/05,,,4/25/14,9/22/14,12/30/1899,12/30/1899,10/23/14,O,NOT IN COMPLIANCE,"24200 Grand River Ave, Detroit, MI 48219, USA"
203,Retro's Bar Grill and Nite Life,Food Service Establishment,56123,SFE,Smit & Will Mill,"(42.3997693,-82.98186799999999)",527-3876,OPEN,,,,2/14/12,7/13/13,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"12215 Harper Ave, Detroit, MI 48213, USA"
204,Ruiz's Drop In,Food Service Establishment,33824,,Roel F. Ruiz,"(42.318241,-83.10148199999999)",,PERMANENTLY CLOSED,,,,10/28/04,4/26/05,12/30/1899,12/30/1899,,O,,"5442 Vernor Hwy, Detroit, MI 48209, USA"
205,Saxony's Lounge,Food Service Establishment,33825,SFE,Bessie Calhoun,"(42.4302484,-83.221886)",,PERMANENTLY CLOSED,,,,10/12/07,3/10/08,10/22/07,12/30/1899,,O,IN COMPLIANCE,"18300 W Seven Mile Rd, Detroit, MI 48219, USA"
206,Rivertown Pizza Papalis ,Food Service Establishment,33827,SFE,Joseph J. Sheena/Rivertown Piz,"(42.34120069999999,-83.0169806)",259-7272,OPEN,,,,11/2/17,4/1/18,12/2/17,12/30/1899,,O,NOT IN COMPLIANCE,"3171 E Jefferson Ave, Detroit, MI 48226, USA"
207,Burger King ,Food Service Establishment,75687,SFE,EYM King of Michigan LLC,"(42.3902903,-83.0074964)",921-2899,OPEN,,,,5/26/17,4/26/18,6/25/17,12/30/1899,,O,NOT IN COMPLIANCE,"9239 Gratiot Ave, Detroit, MI 48213, USA"
208,Colin Powell Academy,Non-Public School,33829,SFE,"Colin Powell Academy,Inc.","(42.39278590000001,-82.963445)",,OPEN,,,,5/27/10,10/24/10,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"4800 Coplin St, Detroit, MI 48215, USA"
209,Bebe's Original Open Pit,Food Service Establishment,63840,,"Donald F. King, Jr.","(42.357344,-83.230424)",,PERMANENTLY CLOSED,3/24/10,,,,,12/30/1899,12/30/1899,3/24/11,O,,"19331 Joy Rd, Detroit, MI 48228, USA"
210,Domino's Pizza #1169,Food Service Establishment,200059,SFE,Leslie Prud'homme,"(42.446654,-83.0873809)",368-9368,OPEN,,,,8/24/17,1/21/18,,,,O,NOT IN COMPLIANCE,"1636 East 8 Mile Road, Highland Park, MI 48203, USA"
211,La Terraza,Food Service Establishment,75146,SFE,La Terraza Inc,"(42.3098171,-83.1306804)",629-2281,OPEN,,,,7/30/17,12/27/17,8/9/17,,,O,NOT IN COMPLIANCE,"8445 Vernor Hwy, Detroit, MI 48209, USA"
212,Nick's Detroit,Food Service Establishment,78726,SFE,Rozi Berishaj,"(42.3433006,-83.21003309999999)",943-4138,OPEN,,,,8/15/17,1/12/18,,,,O,NOT IN COMPLIANCE,"16807 W Warren Ave, Detroit, MI 48228, USA"
213,Woodward Academy,Non-Public School,57661,SFE,Woodward Academy,"(42.3370307,-83.0372704)",961-2108,OPEN,,,,5/26/17,11/22/17,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"951 E Lafayette St, Detroit, MI 48207, USA"
214,A & G Lunch,Food Service Establishment,33836,SFE,Gjelosh Biblekaj,"(42.3579251,-83.2290398)",836-0550,TEMPORARILY CLOSED,,,,12/16/14,5/15/15,12/16/14,12/30/1899,,O,NOT IN COMPLIANCE,"19214 Joy Rd, Detroit, MI 48228, USA"
215,Don Pedro's Mexican Restaurant,Food Service Establishment,33839,,SINGALONG INC/THOMAS SALVATI,"(42.4263353,-83.2809955)",,PERMANENTLY CLOSED,,,,,,12/30/1899,12/30/1899,,O,,"24366 Grand River Ave, Detroit, MI 48219, USA"
216,Prince Pizza,Food Service Establishment,73384,SFE,Scott Jankovic,"(42.4134569,-83.25043289999999)",313-387-5000,PERMANENTLY CLOSED,,,,3/12/13,2/10/14,12/30/1899,6/12/13,,O,NOT IN COMPLIANCE,"21227 Grand River Ave, Detroit, MI 48219, USA"
217,Kitchen Club Catering,Food Service Establishment,33841,SFE,Raymond Duren,"(42.42694119999999,-83.1110703)",869-6616,PERMANENTLY CLOSED,10/12/05,,,11/25/08,4/24/09,12/30/1899,12/30/1899,1/29/10,O,NOT IN COMPLIANCE,"18400 Woodward Ave, Detroit, MI 48203, USA"
218,Moe's Subway Inc. #1,Food Service Establishment,33842,SFE,Bazzi J. Moussa,"(42.3745193,-82.9397039)",313-331-3311,OPEN,,,,1/28/16,12/28/16,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"14820 E Jefferson Ave, Detroit, MI 48215, USA"
219,"American Coney Island, Inc.",Food Service Establishment,33843,SFE,Charles J. Keros,"(42.3315577,-83.0487016)",313-702-0001,OPEN,,,,11/9/17,4/8/18,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"115 Michigan Ave, Detroit, MI 48226, USA"
220,Sugar Hill Bar,Food Service Establishment,33844,SFE,Carroll B Evans,"(42.3757242,-83.0654582)",,Other,,,,6/6/05,12/3/05,12/30/1899,12/30/1899,,O,,"7532 Oakland Ave, Detroit, MI 48211, USA"
221,8 Mile Pita and Grill,Food Service Establishment,52226,SFE,Jacob Babikian,"(42.44237649999999,-83.28601119999999)",,PERMANENTLY CLOSED,,,,9/18/06,2/15/07,12/22/05,1/10/06,,O,,"24737 Eight Mile Rd, Detroit, MI 48219, USA"
222,Comfort Zone Jazz Club,Food Service Establishment,33846,SFE,"Clifton Mosley, Jr.","(42.415417,-83.21363800000002)",,PERMANENTLY CLOSED,,,,3/11/05,9/7/05,12/30/1899,12/30/1899,,O,,"17321 W McNichols Rd, Detroit, MI 48235, USA"
223,Staar Bar,Food Service Establishment,DR52716,,Tonie Roland,"(42.331644,-83.09261099999999)",898-3381,PERMANENTLY CLOSED,,,,10/9/15,9/8/16,10/19/15,12/30/1899,5/27/16,O,IN COMPLIANCE,"3536 Michigan Ave, Detroit, MI 48216, USA"
224,U Got Beef With Me,Food Service Establishment,66484,SFE,Jackie R. Walton,"(42.4191796,-83.1406298)",342-8045,OPEN,,,,1/9/12,6/7/12,12/30/1899,12/30/1899,8/24/12,O,NOT IN COMPLIANCE,"17310 Livernois Ave, Detroit, MI 48221, USA"
225,Renaissance Bowling Center,Food Service Establishment,33851,SFE,Virginia Douglas,"(42.4371478,-83.1174819)",806-2056,OPEN,,,,8/11/17,1/8/18,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"19600 Woodward Ave, Detroit, MI 48203, USA"
226,Olympic Coney Island,Food Service Establishment,33853,SFE,Pjeter Gjokaj,"(42.4060014,-82.9308911)",,OPEN,,,,2/20/06,7/20/06,12/30/1899,12/30/1899,,O,,"17017 E Warren Ave, Detroit, MI 48224, USA"
227,Dogs on the Run,LHD - Mobile Food Establishmen,37520,SMF,Vanessa McLean,"(42.445973,-83.234134)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"19350 Eight Mile Rd, Southfield, MI 48075, USA"
228,Times Square Deli,LHD - Mobile Food Establishmen,33856,SMF,BERRY GRUNIN,"(42.2401741,-83.1756188)",,OPEN,,,,,,12/30/1899,12/30/1899,,O,,"Lincoln Park, MI 48146, USA"
229,Fish Nook,Food Service Establishment,33858,SFE,"Fish Nook, LLC","(42.3771056,-83.0819586)",313-871-7636,TEMPORARILY CLOSED,,,,10/16/14,9/16/15,10/16/14,12/30/1899,,O,IN COMPLIANCE,"8517 2nd Ave, Detroit, MI 48202, USA"
2860,"Tubby's Sub Shop, Inc.",Food Service Establishment,49686,SFE,Mohammed Rahmen,"(42.4342547,-83.0248505)",893-7777,PERMANENTLY CLOSED,,,,8/23/05,8/23/05,9/2/05,12/30/1899,1/29/10,O,,"7701 Seven Mile E, Detroit, MI 48234, USA"
231,Cafe Expresso Bongo,Food Service Establishment,33860,SFE,Anthony Casanova,"(42.3312274,-83.1521483)",,PERMANENTLY CLOSED,,,,9/8/06,3/7/07,10/5/06,12/30/1899,,O,,"8900 McGraw Ave, Detroit, MI 48210, USA"
232,2500 Club,Food Service Establishment,33862,SFE,2500  CLUB INC,"(42.340099,-83.055099)",,PERMANENTLY CLOSED,,,,2/13/06,7/13/06,12/30/1899,12/30/1899,,O,NOT IN COMPLIANCE,"2500 Park Ave, Detroit, MI 48201, USA"
234,McDonald's #18918,Food Service Establishment,53703,SFE,ECS Partnership,"(42.43242670000001,-83.11459049999999)",(313) 892-1302,OPEN,,,,1/10/14,7/28/14,4/10/14,12/30/1899,,O,NOT IN COMPLIANCE,"19102 Woodward Ave, Detroit, MI 48203, USA"
235,Traffic Jam-Snug,Food Service Establishment,33866,SFE,TRAFFIC JAM-SNUG OF MICH. INC,"(42.35087739999999,-83.06591809999999)",313-831-1265,OPEN,,,,7/18/17,12/15/17,10/16/17,,,Z,NOT IN COMPLIANCE,"4268 2nd Ave, Detroit, MI 48201, USA"
236,White Grove Restaurant,Food Service Establishment,33867,SFE,Bernice Forgey,"(42.3428517,-83.0620718)",831-0721,OPEN,,,,6/10/13,5/11/14,12/30/1899,12/30/1899,,O,IN COMPLIANCE,"3131 2nd Ave, Detroit, MI 48201, USA"
237,Cass Community UMC & Center,Food Service Establishment,33868,SFE,CASS COMMUNITY UMC,"(42.3482852,-83.0625227)",,PERMANENTLY CLOSED,,,,11/15/04,5/14/05,11/25/04,12/30/1899,,O,NOT IN COMPLIANCE,"3901 Cass Ave, Detroit, MI 48201, USA"
238,Bronx Bar,Food Service Establishment,49604,SFE,Bronx Detroit LLC,"(42.3522413,-83.0668632)",313-832-8464,OPEN,,,,11/14/17,10/15/18,12/30/1899,12/30/1899,,Z,NOT IN COMPLIANCE,"4476 2nd Ave, Detroit, MI 48201, USA"
239,Scotty Simpsons Fish and Chips,Food Service Establishment,48549,SFE,Harold V. Barber,"(42.40044899999999,-83.25950739999999)",533-0950,OPEN,,,,10/18/17,3/17/18,,,,Z,IN COMPLIANCE,"22200 Fenkell Ave, Detroit, MI 48223, USA"
240,The Detroit Club ,Food Service Establishment,79089,SFE,Detroit Club Management Corp,"(42.3296588,-83.0507786)",313-510-3409,OPEN,,,,1/9/18,12/10/18,2/8/18,12/30/1899,,Y,IN COMPLIANCE,"712 Cass Ave, Detroit, MI 48226, USA"
241,Harvey's Grill,Food Service Establishment,33879,SFE,Harvey Trimble,"(42.4159247,-83.2091664)",,PERMANENTLY CLOSED,,,,3/9/05,9/5/05,12/30/1899,12/30/1899,,O,,"16400 W McNichols Rd, Detroit, MI 48235, USA"
242,Loggins Hideaway,Food Service Establishment,33880,SFE,Ken Loggins,"(42.415926,-83.21339499999999)",,PERMANENTLY CLOSED,,,,2/24/05,8/23/05,12/30/1899,12/30/1899,,O,,"17300 W McNichols Rd, Detroit, MI 48235, USA"
